bioID,firstseason,height,weight,birthDate,deathDate
abrahta01w,0,74.0,190.0,1975-09-27,0000-00-00
abrossv01w,1,74.0,169.0,1980-07-09,0000-00-00
adairje01w,0,76.0,197.0,1986-12-19,0000-00-00
adamsda01w,0,73.0,239.0,1989-02-19,0000-00-00
adamsjo01w,0,75.0,180.0,1981-05-24,0000-00-00
aguilel01w,0,67.0,165.0,1976-10-15,0000-00-00
ajavoma01w,0,68.0,160.0,1986-05-07,0000-00-00
alberma01w,0,64.0,167.77260981912144,1975-04-12,0000-00-00
aldrima01w,0,71.0,153.0,1973-09-15,0000-00-00
alexaer01w,0,67.0,140.0,1975-04-25,0000-00-00
alhalta01w,0,72.0,149.0,1974-10-17,0000-00-00
allench01w,0,71.0,135.0,1986-07-23,0000-00-00
amachma01w,0,73.0,175.0,1978-01-30,0000-00-00
ambermo01w,0,76.0,169.0,1970-12-21,0000-00-00
anderam01w,0,72.0,167.0,1984-03-14,0000-00-00
anderch01w,0,78.0,190.0,1981-01-22,0000-00-00
anderjo01w,0,68.0,166.0,1986-07-22,0000-00-00
anderke01w,0,67.0,125.0,1974-05-17,0000-00-00
andrame01w,0,71.0,165.0,1975-12-31,0000-00-00
angelyv01w,0,68.0,160.0,1963-10-14,0000-00-00
anosini01w,0,75.0,211.0,1986-02-27,0000-00-00
appelja01w,0,76.0,210.0,1988-05-14,0000-00-00
arcaija01w,0,71.0,147.0,1969-04-11,0000-00-00
artiska01w,0,73.0,155.0,1973-07-09,0000-00-00
askamma01w,0,77.0,198.0,1970-08-07,0000-00-00
atkinla01w,0,72.0,172.0,1984-03-22,0000-00-00
atunrmo01w,0,70.0,143.0,1986-04-14,0000-00-00
augusse01w,0,72.0,179.0,1984-04-30,0000-00-00
aycocan01w,0,74.0,172.0,1973-02-28,0000-00-00
ayimmi01w,0,75.0,167.77260981912144,1988-05-06,0000-00-00
azizle01w,0,75.0,177.0,1979-02-28,0000-00-00
azzije01w,0,68.0,143.0,1968-08-31,0000-00-00
badertr01w,0,64.0,125.0,1973-02-26,0000-00-00
bakerla01w,0,67.0,140.0,1968-12-18,0000-00-00
bakersh01w,0,68.0,125.0,1982-12-03,0000-00-00
balesal01w,0,79.0,218.0,1985-04-04,0000-00-00
banchrh01w,0,75.0,185.0,1973-05-01,0000-00-00
baranel01w,0,77.0,182.0,1972-01-28,0000-00-00
barksla01w,0,70.0,156.0,1979-10-03,0000-00-00
barnead01w,0,71.0,165.0,1977-02-03,0000-00-00
barnequ01w,0,77.0,185.0,1976-09-26,0000-00-00
bassmi01w,0,75.0,184.0,1983-12-02,0000-00-00
batkosu01w,0,76.0,203.0,1980-12-17,0000-00-00
batteja01w,0,73.0,163.0,1983-03-26,0000-00-00
battlas01w,0,72.0,170.0,1982-05-31,0000-00-00
bauerca01w,0,76.0,180.0,1972-06-27,0000-00-00
beardal01w,0,71.0,160.0,1982-05-14,0000-00-00
becenry01w,0,66.0,140.0,1971-08-11,0000-00-00
beckki01w,0,68.0,125.0,1985-12-27,0000-00-00
bellje01w,0,73.0,160.0,1970-05-26,0000-00-00
bennije01w,0,75.0,185.0,1981-10-06,0000-00-00
berezva01w,0,76.0,167.77260981912144,1986-04-10,0000-00-00
berggas01w,0,70.0,170.0,1976-11-18,0000-00-00
berrysh01w,0,75.0,175.0,1967-07-06,0000-00-00
berthlu01w,0,74.0,188.0,1978-03-31,0000-00-00
berubca01w,0,72.0,155.0,1975-09-02,0000-00-00
beviltu01w,0,67.0,145.0,1972-07-19,0000-00-00
bibbyje01w,0,67.0,139.0,1979-08-23,0000-00-00
bibrzag01w,0,74.0,168.0,1982-10-21,0000-00-00
birdsu01w,0,69.0,150.0,1980-10-16,0000-00-00
bishoab01w,0,74.0,167.77260981912144,1988-11-29,0000-00-00
bjedoni01w,0,78.0,195.0,1971-05-18,0000-00-00
bjorkan01w,0,72.0,166.0,1989-07-14,0000-00-00
bjorkte01w,0,76.0,175.0,1982-06-29,0000-00-00
blackch01w,0,77.0,188.0,1985-11-12,0000-00-00
blackde01w,0,63.0,124.0,1966-07-29,0000-00-00
bladerh01w,0,67.0,138.0,1972-10-29,0000-00-00
blodgci01w,0,69.0,130.0,1975-12-23,0000-00-00
blueni01w,0,68.0,163.0,1984-03-29,0000-00-00
blueoc01w,0,73.0,163.0,1976-08-18,0000-00-00
bobbish01w,0,62.0,130.0,1985-12-06,0000-00-00
boddiwh01w,0,69.0,149.0,1987-01-23,0000-00-00
boldeba01w,0,74.0,180.0,1969-06-16,0000-00-00
boltoru01w,0,69.0,150.0,1967-05-25,0000-00-00
bondla01w,0,67.0,132.0,1984-02-13,0000-00-00
bonfisu01w,0,68.0,145.0,1974-09-08,0000-00-00
bonnede01w,0,76.0,136.0,1987-08-21,0000-00-00
bookeka01w,0,73.0,170.0,1965-04-10,0000-00-00
bosweca01w,0,72.0,168.0,1962-11-10,0000-00-00
bouceje01w,0,68.0,130.0,1973-12-20,0000-00-00
bouchke01w,0,74.0,163.0,1968-01-13,0000-00-00
bowenli01w,0,67.0,145.0,1983-10-25,0000-00-00
boydca01w,0,73.0,172.0,1975-10-31,0000-00-00
bradlki01w,0,77.0,185.0,1974-08-26,0000-00-00
brancli01w,0,64.0,167.77260981912144,0000-00-00,0000-00-00
branzal01w,0,76.0,180.0,1971-07-17,0000-00-00
branzge01w,0,76.0,175.0,1976-07-25,0000-00-00
braxtja01w,0,75.0,178.0,1973-10-06,0000-00-00
braxtka01w,0,78.0,210.0,1983-02-18,0000-00-00
brazian01w,0,74.0,169.0,1976-09-18,0000-00-00
brcanra01w,0,80.0,198.0,1967-04-15,0000-00-00
brelaje01w,0,75.0,170.0,1988-02-23,0000-00-00
bristre01w,0,70.0,139.0,1978-02-10,0000-00-00
brogami01w,0,73.0,177.0,1973-02-08,0000-00-00
brondsa01w,0,67.0,136.0,1968-08-20,0000-00-00
brownci01w,0,74.0,183.0,1965-03-16,0000-00-00
brownco01w,0,69.0,150.0,1980-10-21,0000-00-00
browned01w,0,69.0,163.0,1978-07-01,0000-00-00
brownki01w,0,70.0,134.0,1979-01-13,0000-00-00
brownla01w,0,75.0,180.0,1972-12-01,0000-00-00
brownle01w,0,72.0,166.0,1977-06-03,0000-00-00
brownru01w,0,74.0,175.0,1972-05-05,0000-00-00
brumfma01w,0,68.0,133.0,1978-06-06,0000-00-00
brungje01w,0,73.0,165.0,1982-04-16,0000-00-00
brunsre01w,0,75.0,175.0,1981-12-11,0000-00-00
bullevi01w,0,75.0,185.0,1967-10-04,0000-00-00
burgean01w,0,67.0,141.0,1969-04-10,0000-00-00
burgehe01w,0,77.0,195.0,1971-11-11,0000-00-00
burgehe02w,0,77.0,180.0,1971-11-11,0000-00-00
burgeli01w,0,73.0,173.0,1969-07-27,0000-00-00
burraal01w,0,75.0,218.0,1975-06-23,0000-00-00
burseja01w,0,77.0,199.0,1979-05-19,0000-00-00
buttsta01w,0,71.0,160.0,1982-03-10,0000-00-00
byearla01w,0,71.0,206.0,1973-08-12,0000-00-00
byrdla01w,0,66.0,131.0,1960-02-01,0000-00-00
cabezli01w,0,75.0,178.0,1973-10-25,0000-00-00
cainke01w,0,78.0,220.0,1989-05-16,0000-00-00
camba01w,0,80.0,215.0,1991-08-18,0000-00-00
campbed01w,0,68.0,152.0,1968-11-26,0000-00-00
campbmi01w,0,77.0,170.0,1974-02-20,0000-00-00
cantydo01w,0,69.0,162.0,1977-03-02,0000-00-00
careyja01w,0,66.0,135.0,1981-03-12,0000-00-00
carsoes01w,0,72.0,165.0,1986-07-28,0000-00-00
carteam01w,0,74.0,185.0,1982-06-21,0000-00-00
cartede01w,0,72.0,185.0,1972-01-03,0000-00-00
cartesy01w,0,66.0,167.77260981912144,1990-11-18,0000-00-00
cashsw01w,0,73.0,162.0,1979-09-22,0000-00-00
cassija01w,0,75.0,187.0,1978-09-12,0000-00-00
castriz01w,0,72.0,140.0,1982-03-13,0000-00-00
catchta01w,0,73.0,167.0,1979-07-21,0000-00-00
caufila01w,0,69.0,159.0,1980-05-25,0000-00-00
cebriel01w,0,77.0,190.0,1971-02-07,0000-00-00
chacoke01w,0,69.0,151.0,1974-12-21,0000-00-00
chambco01w,0,69.0,160.0,1985-07-06,0000-00-00
chanequ01w,0,71.0,160.0,1986-04-14,0000-00-00
chapmji01w,0,75.0,206.0,1979-11-04,0000-00-00
charlda01w,0,75.0,141.0,1968-11-22,0000-00-00
charlti01w,0,76.0,198.0,1988-12-05,0000-00-00
chaseso01w,0,69.0,150.0,1976-03-09,0000-00-00
cheekjo01w,0,73.0,201.0,1988-06-25,0000-00-00
cheruam01w,0,70.0,140.0,1970-04-18,0000-00-00
chestfe01w,0,75.0,180.0,1988-03-24,0000-00-00
choneka01w,0,75.0,180.0,1981-01-11,0000-00-00
chriska01w,0,74.0,171.0,1980-11-16,0000-00-00
chriska02w,0,72.0,180.0,1989-09-11,0000-00-00
chrissh01w,0,73.0,170.0,1982-02-15,0000-00-00
cironkr01w,0,68.0,150.0,1987-05-19,0000-00-00
clarkal01w,0,70.0,167.0,1987-07-07,0000-00-00
clarkma01w,0,75.0,167.77260981912144,1971-01-01,0000-00-00
clearmi01w,0,66.0,126.0,1974-07-16,0000-00-00
clinest01w,0,65.0,148.0,1978-04-22,0000-00-00
coggicl01w,0,71.0,170.0,1985-05-19,0000-00-00
cokermo01w,0,73.0,180.0,1982-11-28,0000-00-00
colemco01w,0,72.0,170.0,1981-04-13,0000-00-00
colemma01w,0,73.0,160.0,1987-01-04,0000-00-00
colleka01w,0,70.0,145.0,1971-03-17,0000-00-00
colsosy01w,0,68.0,140.0,1989-08-06,0000-00-00
compame01w,0,69.0,143.0,1975-09-18,0000-00-00
congran01w,0,74.0,183.0,1970-06-03,0000-00-00
conklab01w,0,75.0,175.0,1975-02-10,0000-00-00
consuca01w,0,68.0,144.0,1979-03-04,0000-00-00
coopeca01w,0,76.0,176.0,1979-02-05,0000-00-00
coopecy01w,0,70.0,150.0,1963-04-14,0000-00-00
crawlsy01w,0,77.0,187.0,1972-09-27,0000-00-00
crockda01w,0,73.0,158.0,1981-02-11,0000-00-00
crockwi01w,0,74.0,215.0,1984-07-05,0000-00-00
cronika01w,0,72.0,155.0,1977-09-08,0000-00-00
crosssh01w,0,70.0,155.0,1983-09-07,0000-00-00
crumpca01w,0,70.0,158.0,1962-10-29,0000-00-00
cummiki01w,0,75.0,188.0,1963-08-29,0000-00-00
cunnibe01w,0,72.0,163.0,1975-06-05,0000-00-00
cunnida01w,0,72.0,187.0,1980-01-27,0000-00-00
cunnima01w,0,76.0,167.77260981912144,1973-05-20,0000-00-00
currimo01w,0,72.0,177.0,1983-02-25,0000-00-00
curryed01w,0,64.0,138.0,1979-07-09,0000-00-00
dalesst01w,0,72.0,155.0,1979-09-05,0000-00-00
daleygr01w,0,66.0,147.0,1978-06-26,0000-00-00
darlihe01w,0,66.0,164.0,1978-08-29,0000-00-00
davenje01w,0,77.0,215.0,1985-06-24,0000-00-00
davisbr01w,0,72.0,172.0,1983-01-01,0000-00-00
daviscl01w,0,73.0,165.0,1967-06-04,0000-00-00
davisde01w,0,67.0,138.0,1984-11-08,0000-00-00
davisla01w,0,67.0,145.0,1974-10-08,0000-00-00
davista01w,0,70.0,160.0,1972-09-25,0000-00-00
davista02w,0,71.0,167.77260981912144,1987-06-07,0000-00-00
dedenka01w,0,76.0,170.0,1969-09-23,0000-00-00
deforan01w,0,70.0,160.0,1976-04-14,0000-00-00
derevje01w,0,70.0,140.0,1982-03-29,0000-00-00
desouer01w,0,77.0,190.0,1982-03-03,0000-00-00
dickeke01w,0,71.0,165.0,1978-04-20,0000-00-00
dillata01w,0,69.0,154.0,1981-05-06,0000-00-00
dixonin01w,0,75.0,167.77260981912144,1972-09-16,0000-00-00
dixonta01w,0,69.0,148.0,1975-12-14,0000-00-00
doagela01w,0,66.0,137.0,1975-05-15,0000-00-00
domonna01w,0,70.0,132.0,1975-09-28,0000-00-00
donapbe01w,0,74.0,195.0,1980-08-27,0000-00-00
doronsh01w,0,69.0,145.0,1985-04-01,0000-00-00
dossaci01w,0,77.0,187.0,1975-01-31,0000-00-00
douglka01w,0,72.0,167.0,1979-05-07,0000-00-00
duffyme01w,0,67.0,135.0,1984-07-13,0000-00-00
dunlavi01w,0,73.0,160.0,1989-09-19,0000-00-00
dupreca01w,0,74.0,162.0,1984-08-16,0000-00-00
dydekka01w,0,79.0,190.0,1970-03-21,0000-00-00
dydekma01w,0,71.9458794587946,223.0,1974-04-28,2011-05-27
edwarmi01w,0,69.0,150.0,1966-03-06,0000-00-00
edwarsi01w,0,76.0,164.0,1973-11-17,0000-00-00
edwarte01w,0,71.0,155.0,1964-07-09,0000-00-00
edwarto01w,0,70.0,160.0,1968-03-13,0000-00-00
elysh01w,0,74.0,182.0,1983-08-09,0000-00-00
enissh01w,0,73.0,185.0,1974-12-03,0000-00-00
erbsu01w,0,78.0,240.0,1977-07-25,0000-00-00
ervinla01w,0,76.0,171.0,1985-03-24,0000-00-00
evansda01w,0,67.0,167.77260981912144,1989-06-30,0000-00-00
evansde01w,0,64.0,125.0,1970-10-11,0000-00-00
fallotr01w,0,75.0,165.0,1972-07-23,0000-00-00
farriba01w,0,75.0,200.0,1976-09-10,0000-00-00
feastal01w,0,71.0,168.0,1976-02-11,0000-00-00
feifesu01w,0,73.0,162.0,1979-01-29,0000-00-00
feldeja01w,0,73.0,167.77260981912144,1969-10-16,0000-00-00
ferdima01w,0,69.0,153.0,1978-10-13,0000-00-00
fernama01w,0,71.0,138.0,1981-12-21,0000-00-00
ferrama01w,0,75.0,190.0,1972-02-11,0000-00-00
figgsuk01w,0,69.0,142.0,1977-03-31,0000-00-00
fijalis01w,0,77.0,200.0,1972-05-23,0000-00-00
firsool01w,0,78.0,215.0,1976-04-23,0000-00-00
floremi01w,0,66.0,125.0,1977-10-19,0000-00-00
flukety01w,0,77.0,209.0,1984-12-27,0000-00-00
folklkr01w,0,74.0,190.0,1975-12-19,0000-00-00
fordch01w,0,75.0,198.0,1981-06-06,0000-00-00
fordki01w,0,70.0,153.0,1975-04-04,0000-00-00
fordst01w,0,74.0,185.0,1969-01-14,0000-00-00
fosteto01w,0,73.0,175.0,1971-10-16,0000-00-00
fowlesy01w,0,78.0,200.0,1985-10-06,0000-00-00
francde01w,0,70.0,193.0,1975-08-24,0000-00-00
frankaq01w,0,64.0,154.0,1985-09-29,0000-00-00
frazeme01w,0,75.0,191.0,1987-03-29,0000-00-00
freemla01w,0,73.0,175.0,1971-03-17,0000-00-00
fresest01w,0,68.0,126.0,1976-09-23,0000-00-00
frettla01w,0,75.0,170.0,1975-06-12,0000-00-00
friertr01w,0,74.0,186.0,1979-08-23,0000-00-00
frohlli01w,0,75.0,185.0,1979-06-23,0000-00-00
frostsh01w,0,76.0,184.0,1966-12-19,0000-00-00
futreca01w,0,70.0,154.0,1982-07-10,0000-00-00
gaithka01w,0,75.0,170.0,1975-08-13,0000-00-00
gamblam01w,0,70.0,163.0,1964-12-17,0000-00-00
ganttr01w,0,74.0,181.0,1971-10-10,0000-00-00
garcibe01w,0,65.0,135.0,1976-09-03,0000-00-00
gardike01w,0,73.0,168.0,1984-05-19,0000-00-00
gardnan01w,0,75.0,190.0,1979-12-23,0000-00-00
garnean01w,0,75.0,160.0,1979-01-05,0000-00-00
gaydeco01w,0,69.0,150.0,1971-05-11,0000-00-00
gaypi01w,0,71.0,183.0,1974-08-21,0000-00-00
gearlka01w,0,73.0,184.0,1984-10-26,0000-00-00
gessiki01w,0,75.0,175.0,1970-12-29,0000-00-00
gibsoke01w,0,70.0,136.0,1976-11-10,0000-00-00
gilbrbr01w,0,73.0,167.77260981912144,1990-08-16,0000-00-00
gilloje01w,0,75.0,180.0,1964-06-13,0000-00-00
gilmous01w,0,71.0,158.0,1978-08-24,0000-00-00
gisseka01w,0,73.0,178.0,1985-07-27,0000-00-00
givench01w,0,70.0,167.77260981912144,1985-07-26,0000-00-00
godbyli01w,0,78.0,163.0,1968-10-17,0000-00-00
gomisem01w,0,71.0,134.0,1983-10-18,0000-00-00
goodemo01w,0,66.0,130.0,1972-02-08,0000-00-00
goodeti01w,0,71.0,165.0,1975-10-23,0000-00-00
goodlsa01w,0,77.0,239.0,1990-08-09,0000-00-00
goodsad01w,0,72.0,165.0,1966-10-19,0000-00-00
gordobr01w,0,72.0,159.0,1967-04-27,0000-00-00
goringi01w,0,79.0,225.0,1983-06-07,0000-00-00
gortmsh01w,0,70.0,158.0,1979-12-07,0000-00-00
grahama01w,0,75.0,240.0,1970-12-18,0000-00-00
granter01w,0,68.0,125.0,1984-06-13,0000-00-00
gravede01w,0,77.0,212.0,1975-09-16,0000-00-00
graylal01w,0,68.0,176.0,1987-04-21,0000-00-00
grecomi01w,0,69.0,145.0,1980-03-24,0000-00-00
greenci01w,0,77.0,183.0,1983-04-04,0000-00-00
greenka01w,0,70.0,170.0,1987-07-13,0000-00-00
grginve01w,0,73.0,160.0,1975-01-13,0000-00-00
griffke01w,0,74.0,179.0,1987-07-02,0000-00-00
griffyo01w,0,75.0,188.0,1970-03-01,0000-00-00
groomla01w,0,70.0,160.0,1970-09-12,0000-00-00
grubigo01w,0,71.0,165.0,1972-08-20,0000-00-00
grudasa01w,0,76.0,185.0,1987-06-25,0000-00-00
guytowa01w,0,73.0,178.0,1965-10-14,0000-00-00
hagiwmi01w,0,71.0,161.0,1970-04-27,0000-00-00
hairska01w,0,72.0,150.0,1985-08-18,0000-00-00
hallam01w,0,75.0,180.0,1977-12-29,0000-00-00
hallvi01w,0,73.0,180.0,1969-10-03,0000-00-00
hamblan01w,0,70.0,170.0,1976-09-30,0000-00-00
hammobe01w,0,66.0,136.0,1977-03-11,0000-00-00
hamptky01w,0,74.0,210.0,1962-11-03,0000-00-00
hamzoro01w,0,69.0,152.0,1970-08-17,0000-00-00
hardili01w,0,68.0,139.0,1984-06-12,0000-00-00
hardish01w,0,69.0,165.0,1969-06-27,0000-00-00
harpela01w,0,77.0,190.0,1986-04-11,0000-00-00
harriam01w,0,77.0,202.0,1988-01-16,0000-00-00
harrido01w,0,75.0,190.0,1966-09-29,0000-00-00
harrifr01w,0,72.0,154.0,1965-03-12,0000-00-00
harrili01w,0,73.0,164.0,1971-01-02,0000-00-00
harrokr01w,0,64.0,139.0,1975-03-04,0000-00-00
haydeva01w,0,76.0,240.0,1982-06-05,0000-00-00
hayesti01w,0,70.0,167.77260981912144,1989-09-20,0000-00-00
haynikr01w,0,69.0,147.0,1983-06-17,0000-00-00
headde01w,0,70.0,160.0,1970-08-16,0000-00-00
hedgpch01w,0,69.0,143.0,1972-02-17,0000-00-00
hemmera01w,0,75.0,167.77260981912144,1973-04-02,0000-00-00
hendene01w,0,68.0,144.0,1973-02-28,0000-00-00
hendetr01w,0,75.0,200.0,1974-12-31,0000-00-00
henniso01w,0,67.0,143.0,1969-10-04,0000-00-00
henryan01w,0,75.0,205.0,1986-02-13,0000-00-00
herriam01w,0,76.0,189.0,1977-06-06,0000-00-00
hibbeka01w,0,70.0,140.0,1977-09-29,0000-00-00
hicksje01w,0,76.0,188.0,1971-12-02,0000-00-00
hightal01w,0,70.0,139.0,1988-04-06,0000-00-00
hillec01w,0,67.0,173.0,1971-04-06,0000-00-00
hledeko01w,0,69.0,150.0,1975-03-29,0000-00-00
hodgeda01w,0,73.0,170.0,1968-01-21,0000-00-00
hodgedo01w,0,69.0,160.0,1982-07-19,0000-00-00
hodgero01w,0,71.0,165.0,1982-07-19,0000-00-00
hodgesa01w,0,69.0,167.77260981912144,1962-07-31,0000-00-00
hoffmeb01w,0,74.0,215.0,1982-08-27,0000-00-00
holdsch01w,0,74.0,172.0,1977-08-09,0000-00-00
hollake01w,0,68.0,129.0,1974-11-05,0000-00-00
holliqu01w,0,77.0,201.0,1988-11-15,0000-00-00
holmejo01w,0,70.0,150.0,1969-03-31,0000-00-00
holmese01w,0,73.0,155.0,1986-06-13,0000-00-00
holtam01w,0,72.0,168.0,1985-06-07,0000-00-00
hopeky01w,0,74.0,165.0,1977-11-23,0000-00-00
hopsosu01w,0,74.0,175.0,1974-06-21,0000-00-00
hornbal01w,0,71.0,155.0,1985-10-16,0000-00-00
houstch01w,0,72.0,189.0,1986-04-10,0000-00-00
houtsas01w,0,66.0,140.0,1987-12-31,0000-00-00
howarje01w,0,66.0,130.0,1975-01-21,0000-00-00
howarme01w,0,69.0,145.0,1972-04-02,0000-00-00
hudsopa01w,0,71.0,139.0,1968-09-19,0000-00-00
humphta01w,0,75.0,190.0,1985-12-29,0000-00-00
ibekwif01w,0,74.0,167.77260981912144,1989-10-05,0000-00-00
irvinsa01w,0,75.0,185.0,1982-02-23,0000-00-00
ivanyda01w,0,70.0,135.0,1976-03-18,0000-00-00
iveyni01w,0,67.0,149.0,1977-09-24,0000-00-00
jacksan01w,0,76.0,205.0,1976-03-30,0000-00-00
jacksde01w,0,74.0,155.0,1979-12-15,0000-00-00
jacksgw01w,0,75.0,182.0,1980-10-23,0000-00-00
jacksla01w,0,77.0,187.0,1981-05-11,0000-00-00
jacksta01w,0,75.0,179.0,1962-12-03,0000-00-00
jacksta02w,0,66.0,118.0,1978-04-22,0000-00-00
jacksti01w,0,71.0,148.0,1972-04-21,0000-00-00
jacksti02w,0,75.0,185.0,1985-04-26,0000-00-00
jacobam01w,0,68.0,152.0,1982-06-29,0000-00-00
jacobje01w,0,68.0,130.0,1973-02-20,0000-00-00
jamesta01w,0,69.0,158.0,1984-06-13,0000-00-00
januabr01w,0,68.0,144.0,1987-01-11,0000-00-00
jekaban01w,0,69.0,180.0,1983-08-12,0000-00-00
joensca01w,0,71.0,165.0,1981-02-12,0000-00-00
johnsad01w,0,70.0,154.0,1974-02-05,0000-00-00
johnsch01w,0,75.0,185.0,1981-03-19,0000-00-00
johnsda01w,0,74.0,197.0,1973-02-19,0000-00-00
johnsgl01w,0,75.0,170.0,1990-07-27,0000-00-00
johnsja01w,0,72.0,201.0,1979-03-16,0000-00-00
johnsla01w,0,73.0,150.0,1975-08-17,0000-00-00
johnsle01w,0,74.0,220.0,1975-01-12,0000-00-00
johnsni01w,0,69.0,146.0,1973-02-07,0000-00-00
johnspo01w,0,75.0,165.0,1975-11-06,0000-00-00
johnssh01w,0,67.0,152.0,1974-08-18,0000-00-00
johnssh02w,0,71.0,167.77260981912144,1990-12-08,0000-00-00
johnste01w,0,63.0,132.0,1982-09-06,0000-00-00
johnsti01w,0,76.0,240.0,1975-12-27,0000-00-00
johnsvi01w,0,69.0,150.0,1972-04-15,0000-00-00
jollyke01w,0,69.0,148.0,1977-05-03,0000-00-00
jonesas01w,0,74.0,196.0,1980-08-01,0000-00-00
jonesch01w,0,69.0,150.0,1982-03-25,0000-00-00
jonesja01w,0,69.0,158.0,1978-09-13,0000-00-00
jonesla01w,0,73.0,180.0,1977-07-24,0000-00-00
jonesma01w,0,70.0,150.0,1975-10-12,0000-00-00
jonesme01w,0,69.0,147.0,1973-07-21,0000-00-00
jordapa01w,0,75.0,205.0,1968-04-27,0000-00-00
joyneja01w,0,70.0,154.0,1962-03-03,0000-00-00
kaplaan01w,0,77.0,180.0,1973-04-22,0000-00-00
kausaan01w,0,72.0,155.0,1970-11-30,0000-00-00
kellycr01w,0,74.0,190.0,1986-09-15,0000-00-00
kingbsu01w,0,67.0,135.0,1981-07-27,0000-00-00
kingija01w,0,68.0,150.0,1976-01-20,0000-00-00
kizerly01w,0,76.0,215.0,1990-04-04,0000-00-00
klimezu01w,0,74.0,181.0,1979-01-21,0000-00-00
kobryew01w,0,75.0,210.0,1982-05-07,0000-00-00
koehnla01w,0,68.0,145.0,1982-05-13,0000-00-00
korstil01w,0,70.0,160.0,1980-05-30,0000-00-00
kossgr01w,0,73.0,145.0,1974-06-12,0000-00-00
kostaan01w,0,67.0,137.0,1978-03-26,0000-00-00
kostita01w,0,73.0,163.0,1972-11-10,0000-00-00
kraayca01w,0,76.0,180.0,1981-09-30,0000-00-00
kubikni01w,0,69.0,145.0,1978-03-01,0000-00-00
kukloan01w,0,72.0,150.0,1971-07-16,0000-00-00
laceyal01w,0,72.0,159.0,1987-12-26,0000-00-00
lacyje01w,0,75.0,175.0,1983-03-21,0000-00-00
lacyna01w,0,70.0,165.0,1985-07-08,0000-00-00
lacyve01w,0,76.0,234.0,1967-02-09,0000-00-00
lambesh01w,0,67.0,125.0,1980-07-21,0000-00-00
lambmo01w,0,77.0,206.0,1964-10-11,0000-00-00
langeme01w,0,78.0,205.0,1969-04-28,0000-00-00
langhcr01w,0,74.0,184.0,1986-10-27,0000-00-00
langja01w,0,72.0,185.0,1972-06-23,0000-00-00
larakr01w,0,68.0,130.0,1969-09-30,0000-00-00
larkier01w,0,73.0,210.0,1986-04-02,0000-00-00
lassiam01w,0,73.0,160.0,1979-06-09,0000-00-00
lattaiv01w,0,66.0,143.0,1984-09-24,0000-00-00
