year,lgID,tmID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_prizes
10,WNBA,ATL,2,Y,L,,,Atlanta Dream,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,1
8,WNBA,CHI,6,N,,,,Chicago Sky,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,20,34,6,11,8,9,6,14,6972,66557,1
1,WNBA,CLE,2,Y,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,1
5,WNBA,CON,1,Y,W,W,L,Connecticut Sun,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,1
6,WNBA,CON,1,Y,W,W,L,Connecticut Sun,916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,1
7,WNBA,CON,1,Y,W,L,,Connecticut Sun,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,1
4,WNBA,DET,1,Y,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,2
7,WNBA,DET,2,Y,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,2
8,WNBA,DET,1,Y,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,3
9,WNBA,DET,1,Y,W,W,W,Detroit Shock,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0,0,0,0,0,0,22,12,34,14,3,8,9,16,4,6875,162669,2
1,WNBA,HOU,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,5
2,WNBA,HOU,4,Y,L,,,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,1
3,WNBA,HOU,2,Y,L,,,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,7
4,WNBA,HOU,2,Y,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,6
6,WNBA,HOU,3,Y,W,L,,Houston Comets,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,13
7,WNBA,HOU,3,Y,L,,,Houston Comets,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,0,0,0,0,0,0,18,16,34,12,5,6,11,11,9,6925,130586,13
3,WNBA,IND,4,Y,L,,,Indiana Fever,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0,0,0,0,0,0,16,16,32,10,6,6,10,12,9,6425,134945,1
5,WNBA,IND,6,N,,,,Indiana Fever,791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,0,0,0,0,0,0,15,19,34,10,7,5,12,8,12,6850,128989,1
6,WNBA,IND,2,Y,W,L,,Indiana Fever,784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,0,0,0,0,0,0,21,13,34,14,3,7,10,14,6,6925,142494,2
7,WNBA,IND,3,Y,L,,,Indiana Fever,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6850,122768,7
8,WNBA,IND,2,Y,W,L,,Indiana Fever,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6875,133915,1
9,WNBA,IND,4,Y,L,,,Indiana Fever,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,1
10,WNBA,IND,1,Y,W,W,L,Indiana Fever,890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,0,0,0,0,0,0,22,12,34,14,3,8,9,17,5,6925,134964,5
2,WNBA,LAS,1,Y,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,6
3,WNBA,LAS,1,Y,W,W,W,Los Angeles Sparks,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,25,7,32,12,4,13,3,17,4,6475,186410,9
4,WNBA,LAS,1,Y,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,1
5,WNBA,LAS,1,Y,L,,,Los Angeles Sparks,904,2069,530,722,157,414,312,809,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,339,727,1066,532,704,288,523,114,2361,0,0,0,0,0,0,25,9,34,15,2,10,7,16,6,6975,177269,13
7,WNBA,LAS,1,Y,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,2476,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,18
9,WNBA,LAS,3,Y,W,L,,Los Angeles Sparks,954,2248,539,717,151,485,386,896,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,359,768,1127,513,717,303,523,141,2523,0,0,0,0,0,0,20,14,34,12,5,8,9,12,8,7000,161639,13
2,WNBA,MIA,3,Y,L,,,Miami Sol,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,20,12,32,10,6,10,6,14,7,6575,141717,1
1,WNBA,MIN,6,N,,,,Minnesota Lynx,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,0,0,0,0,0,0,15,17,32,8,8,7,9,5,16,6425,116638,1
5,WNBA,MIN,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097,1
7,WNBA,MIN,7,N,,,,Minnesota Lynx,945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,0,0,0,0,0,0,10,24,34,8,9,2,15,6,14,6825,109522,1
9,WNBA,MIN,7,N,,,,Minnesota Lynx,991,2303,652,864,133,413,353,792,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,350,862,1212,587,748,248,579,140,2721,0,0,0,0,0,0,16,18,34,9,8,7,10,8,12,6900,118463,1
1,WNBA,NYL,1,Y,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,1
2,WNBA,NYL,2,Y,W,L,,New York Liberty,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,1
8,WNBA,NYL,4,Y,L,,,New York Liberty,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,1
3,WNBA,PHO,7,N,,,,Phoenix Mercury,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,0,0,0,0,0,0,11,21,32,10,6,1,15,7,14,6400,139798,1
5,WNBA,PHO,5,N,,,,Phoenix Mercury,826,1922,456,598,192,519,264,652,916,501,748,282,464,137,2300,784,1845,534,724,133,348,309,711,1020,456,660,226,536,137,2235,0,0,0,0,0,0,17,17,34,10,7,7,10,11,11,6825,136295,1
7,WNBA,PHO,5,N,,,,Phoenix Mercury,1079,2434,537,684,265,722,334,811,1145,640,741,275,442,127,2960,1023,2360,630,852,203,618,408,875,1283,578,669,231,537,126,2879,0,0,0,0,0,0,18,16,34,10,7,8,9,8,12,6900,126801,2
8,WNBA,PHO,1,Y,W,W,W,Phoenix Mercury,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0,0,0,0,0,0,23,11,34,12,5,11,6,17,5,6850,131524,1
10,WNBA,PHO,1,Y,W,W,W,Phoenix Mercury,1128,2454,643,752,257,665,284,906,1190,625,740,225,500,181,3156,1094,2582,638,851,205,608,421,864,1285,607,671,260,460,143,3031,0,0,0,0,0,0,23,11,34,12,5,11,6,13,7,6900,144884,8
2,WNBA,POR,7,N,,,,Portland Fire,733,1891,450,612,172,519,300,696,996,451,633,244,500,106,2088,791,1944,461,656,159,410,343,763,1106,501,643,293,474,144,2202,0,0,0,0,0,0,11,21,32,6,10,5,11,5,16,6525,137656,1
4,WNBA,SAC,3,Y,W,L,,Sacramento Monarchs,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,19,15,34,12,5,7,10,13,11,6825,155578,1
6,WNBA,SAC,1,Y,W,W,W,Sacramento Monarchs,853,1986,494,721,129,360,369,674,1043,527,684,304,500,108,2329,751,1823,478,653,113,376,273,694,967,463,723,235,622,132,2093,0,0,0,0,0,0,25,9,34,15,2,10,7,17,5,6800,145213,1
7,WNBA,SAC,2,Y,W,W,L,Sacramento Monarchs,919,2190,542,741,157,461,418,720,1138,509,670,330,542,88,2537,872,2021,504,661,156,507,294,725,1019,507,687,244,633,143,2404,0,0,0,0,0,0,21,13,34,14,3,7,10,10,10,6875,147739,3
10,WNBA,SAC,6,N,,,,Sacramento Monarchs,946,2194,586,744,132,389,391,763,1154,540,645,289,584,98,2610,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,2690,0,0,0,0,0,0,12,22,34,7,10,5,12,6,14,6850,131654,1
9,WNBA,SAS,1,Y,W,W,L,San Antonio Silver Stars,901,2080,561,694,183,539,246,847,1093,601,602,272,525,150,2546,904,2271,471,634,139,483,389,817,1206,500,666,278,528,109,2418,0,0,0,0,0,0,24,10,34,15,2,9,8,10,10,6850,135722,1
4,WNBA,SEA,5,N,,,,Seattle Storm,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,0,0,0,0,0,0,18,16,34,13,4,5,12,11,13,6850,120857,1
5,WNBA,SEA,2,Y,W,W,W,Seattle Storm,873,2025,524,676,167,439,350,709,1059,552,665,302,499,131,2437,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,2264,0,0,0,0,0,0,20,14,34,13,4,7,10,13,9,6825,134291,2
7,WNBA,SEA,4,Y,L,,,Seattle Storm,961,2124,562,712,160,475,327,821,1148,514,682,232,570,127,2644,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,2575,0,0,0,0,0,0,18,16,34,9,8,9,8,10,10,6800,145664,3
8,WNBA,SEA,4,Y,L,,,Seattle Storm,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,7
10,WNBA,SEA,2,Y,L,,,Seattle Storm,909,2116,555,707,171,486,316,788,1104,536,710,276,555,150,2544,882,2150,510,671,202,585,332,746,1078,517,672,275,555,131,2476,0,0,0,0,0,0,20,14,34,13,4,7,10,13,7,7025,133858,1
3,WNBA,WAS,3,Y,W,,,Washington Mystics,806,1910,359,478,164,443,330,708,1038,516,583,221,455,94,2135,786,1903,397,538,147,446,309,680,989,442,570,237,441,101,2116,0,0,0,0,0,0,17,15,32,9,7,8,8,12,9,6450,259237,1
6,WNBA,WAS,5,N,,,,Washington Mystics,847,1968,388,546,181,510,266,677,943,517,697,260,435,76,2263,833,1872,489,648,150,433,267,757,1024,545,638,205,504,108,2305,0,0,0,0,0,0,16,18,34,10,7,6,11,9,11,6900,171501,1
10,WNBA,WAS,4,Y,L,,,Washington Mystics,933,2205,580,827,139,426,388,803,1191,453,725,314,607,118,2585,945,2184,570,755,162,478,322,789,1111,524,778,315,576,156,2622,0,0,0,0,0,0,16,18,34,11,6,5,12,10,12,6875,192747,1
